,economy,GDP per capita (current US$),"Government expenditure on education, total (% of government expenditure)",Current health expenditure (% of GDP),Gini index,"Life expectancy at birth, total (years)",year,region,ncomelvl,incomelvl
1110,FCS,1706.44326854085,14.6950197219849,4.8001402448231,,61.2296826870124,2017,,,
1111,FCS,1823.31230335011,15.0369348526,4.49858072180743,,61.7825083062786,2018,,,
1112,FCS,1893.88268968493,13.0128054328601,4.42491781012373,,62.1379545505037,2019,,,
1113,FCS,1685.09795088858,12.5679098612738,4.89989569143417,,62.0663682854031,2020,,,
1114,FCS,1757.35640223069,15.2478069454576,5.16206490737885,,61.6086810439385,2021,,,
1115,FCS,1897.94911362527,,4.52034522651985,,62.702271566254,2022,,,
1116,FCS,1722.02197897444,,,,63.3499447771075,2023,,,
1117,FCS,1571.8004320986,,,,,2024,,,
1415,HIC,35725.9211082153,11.948920249939,11.3090316512824,,78.595698767804,2010,,,
1416,HIC,38728.2209958174,12.2191400527954,11.2596458233254,,78.9211536869619,2011,,,
1417,HIC,38632.5165717734,11.5067300796509,11.3658962812304,,79.0753647852261,2012,,,
1418,HIC,38968.5243253254,11.8087701797485,11.38473232913,,79.312724764351,2013,,,
1419,HIC,39409.7327768196,12.3636798858643,11.5884992692574,,79.5654246205344,2014,,,
1420,HIC,36571.192904688,12.5219798088074,12.0483984683967,,79.5243746239928,2015,,,
1421,HIC,37055.7538854894,12.7182898521423,12.2221051459278,,79.7243724353495,2016,,,
1422,HIC,38782.9175406853,12.1305198669434,12.1347213366664,,79.8538410660347,2017,,,
1423,HIC,41079.7872699609,11.9663095474243,12.0481157930597,,79.9668020572923,2018,,,
1424,HIC,41351.4989053257,12.2196102142334,12.2558567639943,,80.1994382042117,2019,,,
1425,HIC,40219.1360185556,11.9694595336914,13.7647316332356,,79.2043516940348,2020,,,
1426,HIC,45211.9410454249,11.715220451355,13.1255942028907,,78.8000564470189,2021,,,
1427,HIC,46655.1648590412,11.9818496704102,12.5210802528727,,79.4313242226593,2022,,,
1428,HIC,48708.4624685822,,,,80.1500151183354,2023,,,
1429,HIC,50443.9276011316,,,,,2024,,,
1460,HPC,808.777260698442,17.6112308502197,5.04303169349603,,58.7324571528893,2010,,,
1461,HPC,872.462990291189,16.0484294891357,4.96562431905959,,59.230074734651,2011,,,
1462,HPC,880.279390859021,16.1618499755859,4.83096971349363,,60.0854649142786,2012,,,
1463,HPC,957.533745929686,16.1913795471191,4.92548985847619,,60.6282276656734,2013,,,
1464,HPC,983.371112213922,17.2971000671387,4.91813103486331,,61.0402807980245,2014,,,
1465,HPC,917.999801798178,17.2212152481079,5.02278704340959,,61.561793936137,2015,,,
1466,HPC,900.498036025473,15.831259727478,4.92836437124015,,62.0038083727554,2016,,,
1467,HPC,939.745532135346,16.137779712677,4.69032068721239,,62.3151956659401,2017,,,
1468,HPC,977.345900504428,17.5215301513672,4.49476830122738,,62.798544258222,2018,,,
1469,HPC,984.570661558163,16.0102047920227,4.60641781189448,,63.0898004183278,2019,,,
1470,HPC,968.074022023344,14.7968659004706,4.98365290750334,,63.0726319690016,2020,,,
1471,HPC,1049.99987506014,15.6218187612312,4.93792863353534,,62.5313735700637,2021,,,
1472,HPC,1111.39185793698,14.9914706871899,4.78012671134464,,63.8404458555462,2022,,,
1473,HPC,1140.19606998258,15.024640083313,,,64.7159054177481,2023,,,
1474,HPC,1202.76979412349,14.6472260683702,,,,2024,,,
1520,IBD,4557.20920307518,15.0479698181152,5.12525177728144,,71.5021795019761,2010,,,
1521,IBD,5338.49008833531,13.846170425415,5.08164117868052,,71.8270333930904,2011,,,
1522,IBD,5614.90444436222,14.8948698043823,5.13957055980296,,72.1637222960649,2012,,,
1523,IBD,5865.32264205042,14.5678596496581,5.23316630250389,,72.4634418369101,2013,,,
1524,IBD,6002.37718511697,15.7181539700745,5.27600324461371,,72.751096616606,2014,,,
